12 b8 4 5
12 r 3 1
12 b10 2 6
14 b5 6 2
14 b7 2 5
12 b11 5 6
12 b3 1 1
12 b9 3 4
13 b9 3 4
13 b3 1 1
13 b11 5 6
15 b7 2 5
15 b5 6 2
13 b10 2 6
13 b12 3 3
13 r 3 1
13 b8 4 5
13 b6 1 5
13 b2 2 2
13 b1 1 2
14 b1 1 2
14 b2 2 2
14 b4 5 2
14 b6 1 5
14 b8 4 5
14 r 3 1
14 b12 3 3
14 b10 2 6
16 b5 6 2
16 b7 2 5
14 b11 5 6
14 b3 1 1
14 b9 3 4
15 b4 5 3
15 b9 3 4
15 b3 1 1
15 b11 5 6
17 b12 4 3
17 b7 2 5
17 b5 6 2
15 b10 2 6
15 b12 3 3
15 r 3 1
15 b8 4 5
15 b6 1 5
15 b2 2 2
15 b1 1 2
16 b4 5 4
16 b1 1 2
16 b2 2 2
16 b6 1 5
16 b8 4 5
16 r 3 1
16 b12 3 3
16 b10 2 6
18 r 3 2
18 b5 6 2
18 b7 2 5
18 b12 4 3
16 b11 5 6
16 b3 1 1
16 b9 3 4
17 b9 3 4
17 b3 1 1
17 b11 5 6
19 b12 4 3
19 b7 2 5
19 b5 6 2
19 r 3 2
17 b10 2 6
17 r 3 1
17 b8 4 5
17 b6 1 5
17 b2 2 2
17 b1 1 2
17 b4 5 4
18 b4 5 4
18 b1 1 2
18 b2 2 2
18 b6 1 5
18 b8 4 5
18 b10 2 6
20 r 3 2
20 b3 3 1
20 b5 6 2
20 b7 2 5
20 b12 4 3
18 b11 5 6
18 b3 1 1
18 b9 3 4
19 b9 3 4
19 b11 5 6
21 b12 4 3
21 b7 2 5
21 b5 6 2
21 r 3 2
19 b10 2 6
19 b3 2 1
19 b8 4 5
19 b6 1 5
19 b2 2 2
19 b1 1 2
19 b4 5 4
20 b4 5 4
20 b1 1 2
20 b2 2 2
20 b6 1 5
20 b8 4 5
20 b10 2 6
22 b5 6 2
22 b7 2 5
22 b12 4 3
20 b11 5 6
20 b9 3 4
21 b9 3 4
21 b11 5 6
23 b7 2 5
23 b5 6 2
21 b10 2 6
21 b3 4 1
21 b8 4 5
21 b6 1 5
21 b2 2 2
21 b1 1 2
21 b4 5 4
22 b4 5 4
22 b1 1 2
22 b2 2 2
22 b6 1 5
22 b8 4 5
22 r 3 1
22 b3 4 1
22 b10 2 6
24 b5 6 2
24 b7 2 5
22 b11 5 6
22 b9 3 4
23 b9 3 4
23 b11 5 6
25 b7 2 5
25 b5 6 2
23 b10 2 6
23 b3 4 1
23 b12 3 3
23 r 3 1
23 b8 4 5
23 b6 1 5
23 b2 2 2
23 b1 1 2
23 b4 5 4
24 b1 1 2
24 b2 2 2
24 b6 1 5
24 b8 4 5
24 r 3 1
24 b12 3 3
24 b3 4 1
24 b10 2 6
26 b5 6 2
26 b7 2 5
24 b11 5 6
24 b9 3 4
24 b4 5 3
25 b9 3 4
25 b11 5 6
27 b9 5 4
27 b7 2 5
27 b5 6 2
25 b10 2 6
25 b3 4 1
25 b12 3 3
25 r 3 1
25 b8 4 5
25 b6 1 5
25 b4 5 2
25 b2 2 2
25 b1 1 2
26 b1 1 2
26 b2 2 2
26 b4 5 2
26 b6 1 5
26 b8 4 5
26 r 3 1
26 b9 4 4
26 b12 3 3
26 b3 4 1
26 b10 2 6
28 b2 2 1
28 b5 6 2
28 b7 2 5
28 b9 5 4
26 b11 5 6
27 b11 5 6
29 b9 5 4
29 b7 2 5
29 b5 6 2
29 b2 2 1
27 b10 2 6
27 b3 4 1
27 b12 3 3
